PEDCOUNT,COLLISIONTYPE,INJURIES,SERIOUSINJURIES,FATALITIES,GEN_ALIAS
1,Pedestrian,1,1,0,Pioneer Square/International District
1,Cycles,1,0,0,Downtown Commercial Core
1,Pedestrian,1,1,0,Cascade/Eastlake
1,Pedestrian,1,0,0,First Hill
1,Pedestrian,1,0,0,North Beacon Hill/Jefferson Park
1,Pedestrian,1,0,0,Columbia City
1,Pedestrian,1,0,0,North Beacon Hill/Jefferson Park
1,Pedestrian,1,0,0,Northgate/Maple Leaf
1,Pedestrian,1,0,0,West Seattle Junction/Genesee Hill
1,Pedestrian,1,0,0,Downtown Commercial Core
1,Pedestrian,1,0,0,Rainier Beach
1,Pedestrian,1,0,0,Cascade/Eastlake
1,Pedestrian,0,0,0,Duwamish/SODO
1,Pedestrian,1,0,0,Central Area/Squire Park
1,Pedestrian,0,0,0,Queen Anne
1,Pedestrian,1,0,0,North Capitol Hill
1,Pedestrian,1,0,0,Belltown
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,0,0,Licton Springs
2,Pedestrian,2,0,0,Interbay
1,Pedestrian,1,0,0,Rainier Beach
1,Pedestrian,1,0,0,Cascade/Eastlake
1,Pedestrian,1,1,0,West Seattle Junction/Genesee Hill
1,Angles,6,1,0,Interbay
1,Pedestrian,0,0,0,Duwamish/SODO
1,Pedestrian,0,0,0,Cascade/Eastlake
1,Pedestrian,1,1,0,North Delridge
1,Pedestrian,1,0,0,Cedar Park/Meadowbrook
1,Pedestrian,1,0,0,Northgate/Maple Leaf
1,Pedestrian,1,0,0,Downtown Commercial Core
1,Pedestrian,1,0,0,Downtown Commercial Core
1,Pedestrian,1,0,0,First Hill
1,Pedestrian,1,0,0,First Hill
1,Pedestrian,1,0,0,Whittier Heights
1,Pedestrian,0,0,0,Pioneer Square/International District
1,Pedestrian,1,0,0,Madrona/Leschi
1,Pedestrian,1,0,0,Ravenna/Bryant
1,Pedestrian,1,1,0,Fremont
1,Pedestrian,1,0,0,First Hill
1,Pedestrian,1,0,0,Cascade/Eastlake
1,Pedestrian,1,1,0,First Hill
1,Pedestrian,1,0,0,Downtown Commercial Core
1,Pedestrian,1,0,0,Pioneer Square/International District
1,Pedestrian,1,0,0,South Park
1,Pedestrian,1,0,0,First Hill
1,Pedestrian,1,0,0,First Hill
1,Pedestrian,1,0,0,Duwamish/SODO
1,Pedestrian,1,0,0,Interbay
1,Pedestrian,4,0,0,Cascade/Eastlake
1,Pedestrian,1,1,0,Columbia City
1,Pedestrian,1,0,0,Mt. Baker/North Rainier
1,Pedestrian,1,0,0,Northgate/Maple Leaf
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,0,0,Interbay
1,Pedestrian,1,0,0,Wallingford
1,Pedestrian,1,1,0,Pioneer Square/International District
1,Pedestrian,1,0,0,Belltown
1,Pedestrian,1,0,0,Cascade/Eastlake
1,Pedestrian,1,0,0,University District
1,Pedestrian,0,0,0,Columbia City
1,Pedestrian,1,0,0,Pioneer Square/International District
1,Pedestrian,1,1,0,West Seattle Junction/Genesee Hill
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,0,0,High Point
1,Pedestrian,1,1,0,Roxhill/Westwood
1,Angles,1,0,0,Cedar Park/Meadowbrook
1,Cycles,1,0,0,Sunset Hill/Loyal Heights
1,Pedestrian,0,0,0,First Hill
1,Pedestrian,1,1,0,Columbia City
1,Pedestrian,1,0,0,Wallingford
1,Pedestrian,1,1,0,Mt. Baker/North Rainier
1,Rear Ended,4,0,0,Rainier Beach
1,Pedestrian,1,0,0,Madison Park
1,Pedestrian,1,0,0,Belltown
1,Pedestrian,1,0,0,North Beacon Hill/Jefferson Park
1,Pedestrian,1,0,0,Duwamish/SODO
1,Pedestrian,1,0,0,Pioneer Square/International District
1,Cycles,1,1,0,Ravenna/Bryant
1,Pedestrian,1,0,0,Queen Anne
1,Pedestrian,0,0,0,North Beacon Hill/Jefferson Park
1,Pedestrian,1,0,0,Belltown
1,Pedestrian,0,0,0,Fauntleroy/Seaview
1,Pedestrian,1,0,0,Cascade/Eastlake
1,Pedestrian,1,0,0,South Beacon Hill/NewHolly
2,Other,1,1,1,North Delridge
1,Cycles,2,0,0,Downtown Commercial Core
2,Pedestrian,2,0,0,First Hill
1,Left Turn,1,0,0,Capitol Hill
1,Pedestrian,1,0,0,Queen Anne
1,Pedestrian,0,0,1,Cascade/Eastlake
1,Pedestrian,1,0,0,Whittier Heights
1,Pedestrian,1,1,0,Licton Springs
1,Pedestrian,1,0,0,Columbia City
1,Cycles,1,0,0,Queen Anne
1,Pedestrian,1,0,0,Fremont
3,Pedestrian,1,0,0,Greenwood/Phinney Ridge
1,Pedestrian,1,0,0,Duwamish/SODO
1,Pedestrian,1,1,0,Queen Anne
1,Rear Ended,1,0,0,Belltown
1,Pedestrian,1,0,0,Licton Springs
1,Pedestrian,1,0,0,South Beacon Hill/NewHolly
1,Pedestrian,1,0,0,Cedar Park/Meadowbrook
1,Pedestrian,1,0,0,Georgetown
1,Pedestrian,1,0,0,University District
1,Pedestrian,1,0,0,Cedar Park/Meadowbrook
1,Pedestrian,1,0,0,High Point
1,Pedestrian,0,0,0,Pioneer Square/International District
1,Pedestrian,1,0,0,Olympic Hills/Victory Heights
1,Pedestrian,1,0,0,Northgate/Maple Leaf
1,Pedestrian,1,0,0,Cascade/Eastlake
1,Pedestrian,1,0,0,Cascade/Eastlake
1,Pedestrian,1,0,0,Cascade/Eastlake
1,Pedestrian,1,0,0,Cascade/Eastlake
1,Pedestrian,1,0,0,Central Area/Squire Park
2,Pedestrian,2,1,0,Cascade/Eastlake
1,Pedestrian,1,0,0,Downtown Commercial Core
1,Pedestrian,1,1,0,Georgetown
1,Pedestrian,1,0,0,Green Lake
1,Pedestrian,1,0,0,Roxhill/Westwood
1,Pedestrian,0,0,0,North Delridge
1,Pedestrian,0,0,1,University District
1,Pedestrian,1,1,0,First Hill
1,Pedestrian,1,1,0,Capitol Hill
1,Pedestrian,1,0,0,Fremont
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,0,0,First Hill
1,Pedestrian,1,0,0,University District
1,Pedestrian,1,0,0,Belltown
1,Pedestrian,1,0,0,Central Area/Squire Park
1,Pedestrian,1,0,0,Broadview/Bitter Lake
1,Pedestrian,1,0,0,Belltown
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,1,0,Queen Anne
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,0,0,Duwamish/SODO
1,Pedestrian,1,0,0,North Beacon Hill/Jefferson Park
1,Pedestrian,1,1,0,North Beach/Blue Ridge
1,Pedestrian,1,0,0,First Hill
1,Pedestrian,1,0,0,Rainier Beach
1,Cycles,1,0,0,Cascade/Eastlake
1,Pedestrian,1,0,0,Wallingford
1,Pedestrian,1,0,0,Rainier Beach
1,Pedestrian,0,0,0,Northgate/Maple Leaf
1,Pedestrian,0,0,0,Ravenna/Bryant
1,Pedestrian,1,0,0,Seward Park
1,Pedestrian,0,0,0,South Beacon Hill/NewHolly
1,Pedestrian,1,0,0,Wallingford
1,Pedestrian,0,0,0,Downtown Commercial Core
1,Pedestrian,2,0,0,Central Area/Squire Park
1,Cycles,2,0,0,Downtown Commercial Core
1,Pedestrian,1,0,0,Cascade/Eastlake
1,Pedestrian,1,0,0,Northgate/Maple Leaf
1,Pedestrian,1,1,0,Cascade/Eastlake
1,Pedestrian,0,0,0,Columbia City
1,Pedestrian,0,0,0,West Seattle Junction/Genesee Hill
1,Pedestrian,0,0,0,First Hill
1,Pedestrian,1,0,0,Downtown Commercial Core
1,Pedestrian,1,1,0,Cedar Park/Meadowbrook
1,Pedestrian,1,0,0,Interbay
1,Pedestrian,3,0,0,First Hill
1,Pedestrian,1,0,0,Duwamish/SODO
1,Pedestrian,1,0,0,University District
1,Parked Car,4,0,0,Licton Springs
1,Pedestrian,1,0,0,Downtown Commercial Core
1,Pedestrian,1,0,0,Duwamish/SODO
1,Pedestrian,1,1,0,Wallingford
1,Pedestrian,1,0,0,North Beacon Hill/Jefferson Park
1,Pedestrian,1,0,0,Duwamish/SODO
1,Pedestrian,0,0,0,Cascade/Eastlake
1,Pedestrian,1,0,0,Whittier Heights
1,Pedestrian,1,0,0,Wedgwood/View Ridge
1,Pedestrian,1,1,0,Broadview/Bitter Lake
1,Pedestrian,0,0,0,Duwamish/SODO
1,Angles,1,0,0,Broadview/Bitter Lake
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,0,0,Cedar Park/Meadowbrook
1,Pedestrian,1,0,0,Ballard
1,Pedestrian,1,0,0,First Hill
1,Pedestrian,1,0,0,Olympic Hills/Victory Heights
1,Pedestrian,1,0,0,Downtown Commercial Core
1,Pedestrian,1,0,0,First Hill
1,Pedestrian,1,0,0,Downtown Commercial Core
1,Pedestrian,1,0,0,Beacon Hill
1,Pedestrian,1,0,0,Central Area/Squire Park
1,Pedestrian,1,1,0,Cedar Park/Meadowbrook
1,Parked Car,1,0,0,Fremont
2,Pedestrian,2,0,0,Northgate/Maple Leaf
1,Pedestrian,1,0,0,Pioneer Square/International District
1,Pedestrian,1,0,0,Olympic Hills/Victory Heights
1,Pedestrian,1,1,0,Capitol Hill
1,Pedestrian,1,0,0,West Seattle Junction/Genesee Hill
1,Pedestrian,1,1,0,First Hill
1,Pedestrian,1,0,0,Northgate/Maple Leaf
1,Pedestrian,1,0,0,Belltown
1,Other,2,0,0,Columbia City
1,Left Turn,1,0,0,Pioneer Square/International District
1,Pedestrian,1,0,0,Pioneer Square/International District
1,Pedestrian,0,0,0,Downtown Commercial Core
1,Pedestrian,1,0,0,Roxhill/Westwood
1,Pedestrian,0,0,0,University District
1,Pedestrian,1,0,0,Cascade/Eastlake
1,Pedestrian,1,0,0,Rainier Beach
1,Pedestrian,1,1,0,Licton Springs
2,Pedestrian,2,0,0,Ravenna/Bryant
1,Pedestrian,1,0,0,Downtown Commercial Core
1,Pedestrian,1,0,0,South Beacon Hill/NewHolly
1,Pedestrian,1,0,0,Fremont
1,Pedestrian,0,0,0,Capitol Hill
1,Pedestrian,1,1,0,North Beacon Hill/Jefferson Park
2,Pedestrian,1,0,0,Cascade/Eastlake
1,Pedestrian,1,0,0,Belltown
1,Pedestrian,1,0,0,Duwamish/SODO
1,Pedestrian,1,0,0,Columbia City
1,Pedestrian,1,0,0,Pioneer Square/International District
1,Pedestrian,1,0,0,Downtown Commercial Core
1,Pedestrian,1,0,0,Haller Lake
1,Pedestrian,1,0,0,Columbia City
1,Pedestrian,1,0,0,University District
1,Pedestrian,1,0,0,Greenwood/Phinney Ridge
2,Pedestrian,1,0,0,Greenwood/Phinney Ridge
1,Pedestrian,1,0,0,Downtown Commercial Core
1,Pedestrian,1,0,0,North Beach/Blue Ridge
1,Pedestrian,1,1,0,Queen Anne
1,Pedestrian,1,0,0,Belltown
1,Pedestrian,1,0,0,Pioneer Square/International District
1,Pedestrian,1,0,0,Licton Springs
1,Pedestrian,0,0,0,Miller Park
1,Pedestrian,1,1,0,South Beacon Hill/NewHolly
1,Pedestrian,1,0,0,Greenwood/Phinney Ridge
1,Pedestrian,1,1,0,Cedar Park/Meadowbrook
1,Pedestrian,1,0,0,Downtown Commercial Core
1,Pedestrian,1,0,0,Downtown Commercial Core
1,Pedestrian,1,0,0,Queen Anne
1,Pedestrian,1,0,0,Columbia City
1,Pedestrian,1,0,0,Wedgwood/View Ridge
1,Pedestrian,1,1,0,Greenwood/Phinney Ridge
1,Pedestrian,0,0,0,Queen Anne
1,Pedestrian,1,0,0,
1,Pedestrian,1,0,0,Rainier Beach
1,Pedestrian,0,0,0,Cascade/Eastlake
1,Pedestrian,1,0,0,First Hill
1,Pedestrian,1,0,0,Judkins Park
1,Pedestrian,1,0,0,Ballard
1,Pedestrian,1,0,0,Cascade/Eastlake
1,Pedestrian,1,0,0,Roxhill/Westwood
1,Pedestrian,1,0,0,Ballard
1,Pedestrian,1,0,0,North Beacon Hill/Jefferson Park
1,Pedestrian,1,0,0,Cascade/Eastlake
1,Pedestrian,1,0,0,Downtown Commercial Core
1,Pedestrian,1,0,0,Belltown
1,Pedestrian,1,0,0,Georgetown
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,0,0,University District
1,Pedestrian,1,0,0,Belltown
1,Pedestrian,1,0,0,Pioneer Square/International District
1,Pedestrian,1,0,0,Georgetown
1,Pedestrian,1,0,0,Belltown
1,Pedestrian,1,0,0,First Hill
1,Pedestrian,1,0,0,Downtown Commercial Core
1,Pedestrian,1,0,0,University District
1,Pedestrian,1,0,0,Ravenna/Bryant
1,Pedestrian,0,0,0,Cascade/Eastlake
1,Pedestrian,1,0,0,Haller Lake
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,0,0,Ravenna/Bryant
1,Pedestrian,1,0,0,Capitol Hill
1,Cycles,1,0,0,Capitol Hill
1,Pedestrian,1,1,0,Cedar Park/Meadowbrook
1,Pedestrian,1,0,0,
1,Pedestrian,1,0,0,Seward Park
1,Pedestrian,1,0,0,Licton Springs
1,Pedestrian,1,0,0,Green Lake
2,Pedestrian,2,0,0,West Seattle Junction/Genesee Hill
1,Pedestrian,1,0,0,Northgate/Maple Leaf
1,Pedestrian,1,1,0,Northgate/Maple Leaf
1,Pedestrian,1,0,0,Belltown
1,Pedestrian,1,0,0,Green Lake
1,Pedestrian,1,0,0,Fremont
1,Pedestrian,1,0,0,Ballard
1,Pedestrian,1,0,0,Belltown
1,Pedestrian,1,0,0,Downtown Commercial Core
1,Other,1,0,0,Cascade/Eastlake
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,1,0,Alki/Admiral
1,Pedestrian,1,0,0,Roxhill/Westwood
1,Pedestrian,1,0,0,Beacon Hill
1,Pedestrian,1,1,0,First Hill
1,Pedestrian,1,0,0,Arbor Heights
1,Pedestrian,1,0,0,Broadview/Bitter Lake
1,Pedestrian,1,0,0,Central Area/Squire Park
1,Pedestrian,0,0,0,Belltown
1,Other,0,0,1,Greenwood/Phinney Ridge
1,Pedestrian,0,0,0,First Hill
1,Pedestrian,1,0,0,Central Area/Squire Park
1,Pedestrian,1,0,0,Cedar Park/Meadowbrook
1,Pedestrian,1,0,0,Olympic Hills/Victory Heights
1,Pedestrian,1,0,0,First Hill
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,0,0,0,Capitol Hill
1,Pedestrian,1,0,0,University District
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,0,0,0,Downtown Commercial Core
1,Pedestrian,0,0,0,Downtown Commercial Core
1,Pedestrian,1,0,0,Cascade/Eastlake
1,Pedestrian,1,0,0,Broadview/Bitter Lake
1,Pedestrian,1,0,0,Queen Anne
1,Pedestrian,1,0,0,Queen Anne
1,Pedestrian,1,0,0,Downtown Commercial Core
1,Pedestrian,1,0,0,West Seattle Junction/Genesee Hill
1,Pedestrian,1,0,0,North Beach/Blue Ridge
1,Pedestrian,1,0,0,Duwamish/SODO
1,Pedestrian,1,0,0,Duwamish/SODO
1,Pedestrian,1,0,0,Roxhill/Westwood
1,Angles,2,0,0,Olympic Hills/Victory Heights
1,Pedestrian,1,0,0,University District
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,0,0,Queen Anne
1,Pedestrian,1,1,0,Seward Park
1,Pedestrian,0,0,0,Licton Springs
1,Pedestrian,1,1,0,Olympic Hills/Victory Heights
1,Pedestrian,1,1,0,First Hill
1,Pedestrian,1,0,0,Licton Springs
1,Pedestrian,0,0,0,Beacon Hill
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,1,0,Cascade/Eastlake
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,1,0,Northgate/Maple Leaf
1,Pedestrian,0,0,1,University District
1,Pedestrian,1,0,0,Queen Anne
1,Pedestrian,1,0,0,Green Lake
1,Pedestrian,1,0,0,Olympic Hills/Victory Heights
1,Pedestrian,1,0,0,First Hill
1,Pedestrian,1,0,0,Queen Anne
1,Pedestrian,1,0,0,University District
1,Pedestrian,1,0,0,Northgate/Maple Leaf
1,Pedestrian,1,0,0,Montlake/Portage Bay
1,Pedestrian,1,0,0,Columbia City
1,Pedestrian,1,0,0,Licton Springs
1,Pedestrian,1,0,0,First Hill
1,Pedestrian,1,0,0,Duwamish/SODO
1,Pedestrian,1,0,0,First Hill
1,Pedestrian,1,0,0,Queen Anne
1,Pedestrian,1,0,0,First Hill
1,Pedestrian,1,0,0,Duwamish/SODO
1,Pedestrian,1,0,0,Montlake/Portage Bay
1,Angles,0,0,1,Downtown Commercial Core
1,Pedestrian,1,0,0,Duwamish/SODO
2,Pedestrian,0,0,0,First Hill
1,Pedestrian,1,0,0,Queen Anne
1,Pedestrian,1,0,0,Rainier Beach
1,Pedestrian,1,0,0,Olympic Hills/Victory Heights
1,Pedestrian,0,0,0,Belltown
1,Pedestrian,0,0,0,Capitol Hill
1,Pedestrian,1,0,0,Queen Anne
1,Pedestrian,1,0,0,University District
1,Other,1,0,0,Fremont
1,Pedestrian,1,0,0,Broadview/Bitter Lake
1,Pedestrian,1,0,0,First Hill
1,Pedestrian,1,0,0,Fremont
1,Pedestrian,1,0,0,Central Area/Squire Park
1,Pedestrian,1,0,0,Highland Park
1,Pedestrian,1,0,0,Greenwood/Phinney Ridge
1,Pedestrian,1,0,0,Mt. Baker/North Rainier
1,Pedestrian,1,0,0,North Beacon Hill/Jefferson Park
1,Pedestrian,1,1,0,Greenwood/Phinney Ridge
1,Pedestrian,1,0,0,University District
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,0,0,University District
1,Pedestrian,1,0,0,Ravenna/Bryant
1,Pedestrian,1,0,0,Ravenna/Bryant
1,Pedestrian,0,0,0,First Hill
1,Pedestrian,1,0,0,Columbia City
1,Pedestrian,1,0,0,Green Lake
1,Pedestrian,1,0,0,Fremont
1,Pedestrian,1,0,0,Wallingford
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,0,0,First Hill
1,Pedestrian,1,0,0,Sunset Hill/Loyal Heights
1,Pedestrian,1,0,0,Ravenna/Bryant
1,Pedestrian,1,0,0,Ballard
1,Pedestrian,1,0,0,Cascade/Eastlake
1,Pedestrian,1,0,0,Duwamish/SODO
1,Pedestrian,1,0,0,Queen Anne
1,Pedestrian,1,0,0,Ravenna/Bryant
1,Pedestrian,1,1,0,Licton Springs
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,0,0,University District
1,Pedestrian,1,0,0,Fauntleroy/Seaview
1,Pedestrian,1,0,0,North Beach/Blue Ridge
1,Pedestrian,1,0,0,Downtown Commercial Core
1,Pedestrian,0,0,0,Rainier Beach
1,Pedestrian,0,0,0,Northgate/Maple Leaf
1,Pedestrian,1,0,0,West Seattle Junction/Genesee Hill
1,Pedestrian,1,0,0,Central Area/Squire Park
1,Pedestrian,1,0,0,Licton Springs
1,Pedestrian,1,0,0,Queen Anne
1,Pedestrian,1,0,0,Downtown Commercial Core
1,Pedestrian,1,0,0,Greenwood/Phinney Ridge
1,Pedestrian,1,0,0,Whittier Heights
1,Pedestrian,1,0,0,Green Lake
1,Pedestrian,0,0,0,
1,Pedestrian,1,1,0,North Capitol Hill
1,Pedestrian,1,0,0,Duwamish/SODO
2,Pedestrian,2,0,0,Queen Anne
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,0,0,Green Lake
1,Pedestrian,1,0,0,Seward Park
1,Cycles,2,0,0,Central Area/Squire Park
1,Pedestrian,1,0,0,First Hill
1,Pedestrian,1,0,0,Central Area/Squire Park
2,Pedestrian,2,0,0,Alki/Admiral
1,Pedestrian,1,0,0,Cedar Park/Meadowbrook
1,Pedestrian,1,0,0,Judkins Park
1,Pedestrian,1,0,0,High Point
1,Pedestrian,0,0,0,Duwamish/SODO
1,Pedestrian,1,0,0,First Hill
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,1,0,Olympic Hills/Victory Heights
1,Pedestrian,1,1,0,Cascade/Eastlake
1,Pedestrian,1,0,0,Cascade/Eastlake
1,Pedestrian,1,0,0,Broadview/Bitter Lake
1,Pedestrian,1,0,0,North Beacon Hill/Jefferson Park
1,Pedestrian,0,0,0,Capitol Hill
2,Pedestrian,1,0,0,Queen Anne
1,Pedestrian,1,0,0,Ravenna/Bryant
1,Pedestrian,1,0,0,Cascade/Eastlake
1,Pedestrian,1,0,0,First Hill
1,Pedestrian,1,0,0,First Hill
1,Pedestrian,1,0,0,Fremont
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,0,0,Olympic Hills/Victory Heights
1,Pedestrian,1,0,0,Columbia City
1,Pedestrian,1,0,0,Sunset Hill/Loyal Heights
1,Pedestrian,1,0,0,Queen Anne
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,0,0,Belltown
1,Pedestrian,1,0,0,Rainier Beach
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,0,0,Central Area/Squire Park
1,Pedestrian,1,0,0,Cascade/Eastlake
1,Pedestrian,0,0,0,Ravenna/Bryant
1,Pedestrian,1,0,0,West Seattle Junction/Genesee Hill
2,Pedestrian,1,0,0,North Beacon Hill/Jefferson Park
1,Pedestrian,1,0,0,First Hill
1,Angles,3,0,0,West Seattle Junction/Genesee Hill
1,Pedestrian,1,0,0,Interbay
1,Pedestrian,1,0,0,South Beacon Hill/NewHolly
1,Pedestrian,1,0,0,Cascade/Eastlake
1,Pedestrian,1,0,0,First Hill
1,Pedestrian,1,0,0,Queen Anne
1,Pedestrian,1,0,0,Licton Springs
1,Pedestrian,1,0,0,Madison Park
1,Pedestrian,1,0,0,Montlake/Portage Bay
1,Pedestrian,1,0,0,Downtown Commercial Core
1,Pedestrian,0,0,0,Cascade/Eastlake
1,Pedestrian,1,0,0,Cascade/Eastlake
1,Pedestrian,1,0,0,Madrona/Leschi
1,Pedestrian,1,0,0,Duwamish/SODO
1,Pedestrian,1,0,0,Cascade/Eastlake
1,Pedestrian,1,0,0,Capitol Hill
2,Angles,3,0,0,Downtown Commercial Core
1,Parked Car,1,0,0,West Seattle Junction/Genesee Hill
1,Pedestrian,1,1,0,First Hill
1,Pedestrian,1,0,0,Ballard
1,Pedestrian,1,0,0,Cascade/Eastlake
1,Pedestrian,1,0,0,University District
1,Pedestrian,1,1,1,University District
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,0,0,Cascade/Eastlake
1,Pedestrian,0,0,0,Downtown Commercial Core
1,Pedestrian,0,0,0,West Seattle Junction/Genesee Hill
1,Pedestrian,1,1,0,Madrona/Leschi
1,Pedestrian,0,0,0,University District
1,Pedestrian,1,0,0,Greenwood/Phinney Ridge
1,Pedestrian,1,0,0,Queen Anne
1,Pedestrian,1,1,0,First Hill
1,Pedestrian,1,0,0,North Beacon Hill/Jefferson Park
1,Pedestrian,2,0,0,Madrona/Leschi
1,Pedestrian,1,0,0,Roxhill/Westwood
1,Pedestrian,1,0,0,North Delridge
1,Pedestrian,1,0,0,Licton Springs
1,Pedestrian,0,0,0,Capitol Hill
1,Pedestrian,1,0,0,First Hill
1,Pedestrian,1,0,0,First Hill
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,0,0,Judkins Park
1,Pedestrian,0,0,1,Licton Springs
2,Pedestrian,2,1,0,Queen Anne
1,Pedestrian,1,0,0,Queen Anne
1,Pedestrian,1,0,0,Judkins Park
1,Pedestrian,0,0,0,Olympic Hills/Victory Heights
1,Pedestrian,1,0,0,Licton Springs
1,Pedestrian,0,0,1,Green Lake
1,Pedestrian,1,0,0,Seward Park
1,Pedestrian,1,1,0,First Hill
1,Pedestrian,1,0,0,Belltown
1,Pedestrian,1,0,0,West Seattle Junction/Genesee Hill
1,Pedestrian,1,0,0,University District
1,Pedestrian,1,0,0,High Point
1,Pedestrian,0,0,0,Queen Anne
1,Pedestrian,1,1,0,Cascade/Eastlake
1,Pedestrian,1,0,0,Cedar Park/Meadowbrook
1,Pedestrian,1,0,0,North Beacon Hill/Jefferson Park
1,Pedestrian,1,0,0,Alki/Admiral
1,Pedestrian,0,0,1,Belltown
1,Pedestrian,0,0,0,Green Lake
1,Pedestrian,1,0,0,Ravenna/Bryant
1,Pedestrian,1,0,0,West Seattle Junction/Genesee Hill
1,Pedestrian,1,0,0,Pioneer Square/International District
1,Pedestrian,1,0,0,University District
1,Pedestrian,1,0,0,Whittier Heights
1,Pedestrian,0,0,0,Duwamish/SODO
2,Pedestrian,1,1,0,Downtown Commercial Core
1,Parked Car,2,0,0,Beacon Hill
2,Pedestrian,2,1,0,Duwamish/SODO
1,Pedestrian,1,0,0,Duwamish/SODO
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,0,0,West Seattle Junction/Genesee Hill
1,Pedestrian,1,0,0,Wallingford
1,Pedestrian,1,0,0,Licton Springs
1,Pedestrian,1,0,0,University District
1,Pedestrian,1,0,0,First Hill
1,Pedestrian,2,0,0,Queen Anne
1,Pedestrian,1,0,0,Wallingford
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,0,0,Haller Lake
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,0,0,University District
1,Pedestrian,1,0,0,Columbia City
1,Pedestrian,1,0,0,University District
1,Pedestrian,1,0,0,Madison Park
1,Pedestrian,1,0,0,North Capitol Hill
1,Pedestrian,1,0,0,University District
1,Pedestrian,0,0,0,Rainier Beach
1,Pedestrian,1,0,0,Greenwood/Phinney Ridge
1,Pedestrian,0,0,0,Capitol Hill
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,1,0,Capitol Hill
1,Pedestrian,1,0,0,Queen Anne
1,Pedestrian,1,0,0,First Hill
1,Pedestrian,1,0,0,Cascade/Eastlake
1,Pedestrian,0,0,0,Highland Park
1,Pedestrian,1,0,0,Fremont
1,Pedestrian,1,0,0,Wallingford
1,Pedestrian,1,0,0,Ballard
1,Pedestrian,1,0,0,First Hill
1,Pedestrian,1,0,0,Downtown Commercial Core
1,Pedestrian,1,0,0,North Beacon Hill/Jefferson Park
1,Pedestrian,0,0,0,Highland Park
1,Pedestrian,0,0,0,Ravenna/Bryant
1,Pedestrian,1,0,0,South Beacon Hill/NewHolly
1,Pedestrian,1,0,0,Greenwood/Phinney Ridge
1,Pedestrian,1,0,0,Whittier Heights
1,Pedestrian,1,0,0,Green Lake
1,Pedestrian,1,0,0,North Capitol Hill
1,Pedestrian,1,0,0,Downtown Commercial Core
1,Pedestrian,1,0,0,Mt. Baker/North Rainier
1,Pedestrian,1,1,0,Queen Anne
1,Pedestrian,0,0,0,
1,Pedestrian,1,1,0,Downtown Commercial Core
1,Pedestrian,1,1,0,Beacon Hill
1,Pedestrian,0,0,0,Belltown
1,Pedestrian,1,0,0,Pioneer Square/International District
1,Pedestrian,1,0,0,Olympic Hills/Victory Heights
1,Pedestrian,1,1,0,First Hill
1,Pedestrian,1,1,0,Cascade/Eastlake
2,Pedestrian,1,0,0,Cedar Park/Meadowbrook
1,Pedestrian,1,0,0,Pioneer Square/International District
1,Pedestrian,1,0,0,Judkins Park
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,0,0,Cascade/Eastlake
1,Pedestrian,1,0,0,Downtown Commercial Core
1,Pedestrian,0,0,0,Wallingford
1,Pedestrian,1,0,0,Capitol Hill
1,Pedestrian,1,0,0,Whittier Heights
1,Pedestrian,1,0,0,Rainier Beach
2,Left Turn,3,1,0,Haller Lake
1,Pedestrian,1,1,0,Queen Anne
1,Pedestrian,1,0,0,Miller Park
1,Pedestrian,1,1,0,Greenwood/Phinney Ridge
1,Pedestrian,0,0,0,University District
1,Pedestrian,1,0,0,Queen Anne
